AREANM,AREACD,time1,time2,time3,time4,time5
Central Bedfordshire,E06000056,10.27128,10.38888,16.971,14.02236,14.02236
Northumberland,E06000057,15.31704,18.53292,15.07824,13.94028,13.94028
Aylesbury Vale,E07000004,5.04396,11.99808,25.05372,19.2654,19.2654
Chiltern,E07000005,18.0654,5.57604,1.09824,12.49452,12.49452
South Bucks,E07000006,10.08828,13.70328,19.20312,21.52488,21.52488
Wycombe,E07000007,15.05388,8.28036,16.49964,9.81888,9.81888
Cambridge,E07000008,9.46476,6.49176,3.7026,8.62452,8.62452
East Cambridgeshire,E07000009,24.06672,25.04004,22.0308,12.92988,12.92988
Fenland,E07000010,28.50372,15.38424,10.0686,-2.00784,-2.00784
Huntingdonshire,E07000011,12.01152,9.438,6.08736,13.04868,13.04868
South Cambridgeshire,E07000012,-0.91176,16.43028,21.57864,24.13128,24.13128
Allerdale,E07000026,4.92948,5.62188,14.75184,15.16188,15.16188
Barrow-in-Furness,E07000027,14.03508,21.76164,15.28716,18.97056,18.97056
Carlisle,E07000028,7.62048,12.96552,15.1446,10.58196,10.58196
Copeland,E07000029,14.9142,8.80308,13.15308,12.79932,12.79932
Eden,E07000030,-2.00568,-4.11564,10.61484,14.52276,14.52276
South Lakeland,E07000031,9.64152,13.75284,8.0244,6.6894,6.6894
Amber Valley,E07000032,13.52988,13.20732,10.09956,5.14776,5.14776
Bolsover,E07000033,12.45876,22.10256,12.25656,7.70796,7.70796
Chesterfield,E07000034,22.74036,15.60816,17.17044,4.85172,4.85172
Derbyshire Dales,E07000035,20.62728,16.69092,13.28316,11.6262,11.6262
Erewash,E07000036,17.74488,7.65396,2.99196,13.731,13.731
High Peak,E07000037,15.58584,8.35104,6.40776,2.20032,2.20032
North East Derbyshire,E07000038,6.31848,13.40316,10.2408,13.85628,13.85628
South Derbyshire,E07000039,17.57844,11.54496,6.10092,0.73368,0.73368
East Devon,E07000040,8.9136,0.5538,9.0438,11.42088,11.42088
Exeter,E07000041,3.99516,13.07472,19.4706,15.29268,15.29268
Mid Devon,E07000042,11.448,14.0436,23.51268,12.06732,12.06732
North Devon,E07000043,12.71976,14.0286,0.357,0.77184,0.77184
South Hams,E07000044,2.88228,6.64932,2.87208,11.23944,11.23944
Teignbridge,E07000045,14.64432,10.54188,4.89396,2.37972,2.37972
Torridge,E07000046,20.24268,16.1994,12.6408,13.86024,13.86024
West Devon,E07000047,11.01336,10.96668,2.1114,-1.24332,-1.24332
Christchurch,E07000048,25.51944,16.5036,4.02924,4.66116,4.66116
East Dorset,E07000049,16.24296,5.86464,4.07376,-1.2612,-1.2612
North Dorset,E07000050,1.95732,8.08248,15.96396,24.87912,24.87912
Purbeck,E07000051,-3.41712,0.65316,15.97296,12.89112,12.89112
West Dorset,E07000052,21.83796,10.45752,15.57072,0.27648,0.27648
Weymouth and Portland,E07000053,21.04032,22.69224,7.0446,6.4476,6.4476
Eastbourne,E07000061,17.89116,14.78472,19.5642,16.48848,16.48848
Hastings,E07000062,3.49512,6.9018,5.39208,12.25104,12.25104
Lewes,E07000063,3.66528,17.6442,23.02152,20.19432,20.19432
Rother,E07000064,5.29464,16.12308,18.09864,15.29208,15.29208
Wealden,E07000065,12.6588,18.06264,12.60468,13.24236,13.24236
Basildon,E07000066,10.25628,11.84232,7.90476,17.59992,17.59992
Braintree,E07000067,18.70512,17.08596,15.14112,11.41572,11.41572
Brentwood,E07000068,4.75788,10.47756,0.0192,11.7084,11.7084
Castle Point,E07000069,12.846,20.03256,10.70628,5.03988,5.03988
Chelmsford,E07000070,16.542,11.4672,10.431,6.57312,6.57312
Colchester,E07000071,3.75684,4.40004,6.0204,12.9252,12.9252
Epping Forest,E07000072,3.02664,5.31144,11.94456,18.1968,18.1968
Harlow,E07000073,7.82436,12.97848,13.77276,8.889,8.889
Maldon,E07000074,-7.11708,11.73504,15.4002,18.32568,18.32568
Rochford,E07000075,9.61176,9.19632,10.65372,12.6072,12.6072
Tendring,E07000076,8.4054,11.62404,15.35592,19.56096,19.56096
Uttlesford,E07000077,2.92056,-3.65568,-4.04196,12.774,12.774
Cheltenham,E07000078,12.6222,4.50636,6.44688,13.75188,13.75188
Cotswold,E07000079,15.16812,20.45748,15.23532,1.60476,1.60476
Forest of Dean,E07000080,7.9848,8.26896,12.28704,17.5134,17.5134
Gloucester,E07000081,17.256,23.95104,16.80684,3.74856,3.74856
Stroud,E07000082,7.5204,0.2052,2.3976,4.38996,4.38996
Tewkesbury,E07000083,0.32952,12.62604,7.2168,9.8394,9.8394
Basingstoke and Deane,E07000084,19.85016,22.66644,14.24832,9.72588,9.72588
East Hampshire,E07000085,6.63,9.00108,4.67292,13.97844,13.97844
Eastleigh,E07000086,20.09856,19.88064,7.98852,5.03976,5.03976
Fareham,E07000087,14.6832,19.90812,20.32728,12.37092,12.37092
Gosport,E07000088,14.18268,4.46364,21.64284,16.39368,16.39368
Hart,E07000089,8.58696,10.19352,13.56156,5.75916,5.75916
Havant,E07000090,24.57888,15.63456,9.26004,4.6602,4.6602
New Forest,E07000091,7.60776,12.43092,13.07448,9.34632,9.34632
Rushmoor,E07000092,20.0082,21.86472,17.46336,7.28064,7.28064
Test Valley,E07000093,17.18568,8.05764,14.01,6.24852,6.24852
Winchester,E07000094,16.28616,6.55512,2.87952,4.05708,4.05708
Broxbourne,E07000095,23.54124,22.80036,13.77492,7.2918,7.2918
Dacorum,E07000096,2.64588,4.7634,5.52492,18.06204,18.06204
Hertsmere,E07000098,1.52652,17.89968,14.84244,11.96676,11.96676
North Hertfordshire,E07000099,10.80444,9.15204,7.39116,12.9852,12.9852
Three Rivers,E07000102,20.46708,24.33996,11.29212,5.3442,5.3442
Watford,E07000103,11.7162,8.56056,5.29656,8.12964,8.12964
Ashford,E07000105,14.64876,9.00732,15.46344,10.25376,10.25376
Canterbury,E07000106,9.93516,21.68004,19.14168,8.8236,8.8236
Dartford,E07000107,9.89328,12.3408,18.26856,15.05988,15.05988
Dover,E07000108,16.39056,9.141,18.20916,-0.96624,-0.96624
Gravesham,E07000109,23.1204,18.7044,11.27364,0.26964,0.26964
Maidstone,E07000110,12.17412,6.58572,16.69488,9.0828,9.0828
Sevenoaks,E07000111,12.59988,19.03836,17.82528,10.47396,10.47396
Shepway,E07000112,17.06664,17.05956,21.97356,18.14808,18.14808
Swale,E07000113,6.19032,14.46288,4.98588,4.72332,4.72332
Thanet,E07000114,12.55992,14.02968,20.80152,8.99304,8.99304
Tonbridge and Malling,E07000115,23.10216,16.41396,13.58532,8.4966,8.4966
Tunbridge Wells,E07000116,3.243,16.75392,14.40696,19.3794,19.3794
Burnley,E07000117,9.56784,13.623,9.76068,-1.10556,-1.10556
Chorley,E07000118,3.8976,14.54496,8.62272,9.00852,9.00852
Fylde,E07000119,12.68256,17.77524,6.74364,6.12696,6.12696
Hyndburn,E07000120,3.8418,4.93824,-0.38184,-4.29456,-4.29456
Lancaster,E07000121,16.60248,10.88508,8.01552,9.14124,9.14124
Pendle,E07000122,7.66452,6.58068,10.90308,13.80648,13.80648
Preston,E07000123,9.63228,4.68816,9.09396,4.15632,4.15632
Ribble Valley,E07000124,11.19396,27.1068,19.26804,16.33656,16.33656
Rossendale,E07000125,16.5138,10.09188,9.7908,-7.758,-7.758
South Ribble,E07000126,11.85768,3.68592,1.23576,9.89892,9.89892
West Lancashire,E07000127,8.23908,22.87644,17.47776,20.90844,20.90844
Wyre,E07000128,10.52688,13.15032,19.26672,9.0924,9.0924
Blaby,E07000129,3.7842,14.34768,4.01532,3.89316,3.89316
Charnwood,E07000130,7.06404,11.57172,17.72796,16.70364,16.70364
Harborough,E07000131,17.625,8.78424,12.5274,-3.57288,-3.57288
Hinckley and Bosworth,E07000132,11.6952,15.528,9.97008,7.782,7.782
Melton,E07000133,11.83776,15.17136,5.22072,17.49624,17.49624
North West Leicestershire,E07000134,-0.34464,9.02124,10.79724,15.49944,15.49944
Oadby and Wigston,E07000135,-2.8998,12.4392,22.80996,17.01984,17.01984
Boston,E07000136,3.873,12.29352,10.55916,8.92332,8.92332
East Lindsey,E07000137,7.99128,9.08292,0.94812,1.51032,1.51032
Lincoln,E07000138,12.43584,8.2566,1.44108,7.5582,7.5582
North Kesteven,E07000139,5.6052,25.1604,13.13196,14.38332,14.38332
South Holland,E07000140,11.13156,17.2662,10.86696,7.1106,7.1106
South Kesteven,E07000141,5.05812,-2.54052,4.6392,13.49196,13.49196
West Lindsey,E07000142,11.5386,25.52532,26.79648,19.70292,19.70292
Breckland,E07000143,15.77112,17.54352,11.98584,11.50416,11.50416
Broadland,E07000144,4.14312,5.30016,12.61812,9.54492,9.54492
Great Yarmouth,E07000145,9.06324,7.69404,12.45036,9.32976,9.32976
King's Lynn and West Norfolk,E07000146,15.06324,12.89976,8.78928,13.88952,13.88952
North Norfolk,E07000147,-6.5628,-2.1012,2.77836,14.64144,14.64144
Norwich,E07000148,3.3954,2.17512,10.36968,7.33044,7.33044
South Norfolk,E07000149,9.95544,2.05944,-1.51848,-0.21444,-0.21444
Corby,E07000150,0.9534,0.4032,-1.3146,-0.10476,-0.10476
Daventry,E07000151,8.78256,8.57772,6.37932,8.12808,8.12808
East Northamptonshire,E07000152,8.90016,15.95304,22.17888,12.74676,12.74676
Kettering,E07000153,9.183,13.86732,19.1412,11.0292,11.0292
Northampton,E07000154,11.11872,10.55388,3.84288,9.75888,9.75888
South Northamptonshire,E07000155,19.27608,17.38488,11.15964,6.405,6.405
Wellingborough,E07000156,17.20308,22.57752,9.88884,9.37692,9.37692
Craven,E07000163,8.84676,8.30688,2.32236,10.28148,10.28148
Hambleton,E07000164,11.98332,7.68396,19.72812,12.87168,12.87168
Harrogate,E07000165,16.7814,20.48232,6.5844,2.17908,2.17908
Richmondshire,E07000166,18.30876,17.42736,5.92452,6.9792,6.9792
Ryedale,E07000167,8.19648,5.68608,15.47868,6.59172,6.59172
Scarborough,E07000168,-5.4036,9.52236,15.6588,19.45152,19.45152
Selby,E07000169,11.52468,12.60312,9.1602,11.30112,11.30112
Ashfield,E07000170,13.79556,13.64976,14.53632,16.96608,16.96608
Bassetlaw,E07000171,16.40076,12.09108,5.97324,11.52348,11.52348
Broxtowe,E07000172,18.48144,14.10336,7.08792,5.86848,5.86848
Gedling,E07000173,9.99132,8.17248,1.88328,2.41332,2.41332
Mansfield,E07000174,8.2698,0.705,7.05756,7.0122,7.0122
Newark and Sherwood,E07000175,17.88564,12.85428,2.5362,-2.06148,-2.06148
Rushcliffe,E07000176,14.40372,10.60596,8.85528,8.60424,8.60424
Cherwell,E07000177,13.1898,10.82772,7.25172,2.79804,2.79804
Oxford,E07000178,9.09192,12.17748,1.7424,7.899,7.899
South Oxfordshire,E07000179,7.54764,7.3476,7.24296,10.15356,10.15356
Vale of White Horse,E07000180,9.66768,17.62008,10.28844,21.12264,21.12264
West Oxfordshire,E07000181,10.41444,7.56204,1.11516,8.56932,8.56932
Mendip,E07000187,7.80684,13.0476,21.05796,18.53928,18.53928
Sedgemoor,E07000188,6.16296,11.50656,4.96536,5.91072,5.91072
South Somerset,E07000189,13.0422,11.95236,4.05588,9.45204,9.45204
Taunton Deane,E07000190,12.12756,9.7344,12.77964,6.64152,6.64152
West Somerset,E07000191,1.74276,4.92468,-0.38532,4.35732,4.35732
Cannock Chase,E07000192,4.91724,9.08772,9.4044,19.04868,19.04868
East Staffordshire,E07000193,21.65712,10.44216,8.01696,6.60156,6.60156
Lichfield,E07000194,19.3932,25.40232,22.16448,5.81244,5.81244
Newcastle-under-Lyme,E07000195,11.77284,6.65856,10.13868,2.535,2.535
South Staffordshire,E07000196,-0.69084,7.4568,18.30612,18.43728,18.43728
Stafford,E07000197,10.7856,13.39968,10.16808,14.30712,14.30712
Staffordshire Moorlands,E07000198,14.00676,13.593,17.1288,13.96848,13.96848
Tamworth,E07000199,31.26252,19.46964,1.39752,0.52668,0.52668
Babergh,E07000200,0.09948,8.0754,1.27236,8.94912,8.94912
Forest Heath,E07000201,17.28408,13.7118,10.455,9.44028,9.44028
Ipswich,E07000202,13.8312,18.44352,9.0432,2.2308,2.2308
Mid Suffolk,E07000203,17.15604,15.258,8.41788,6.38292,6.38292
St Edmundsbury,E07000204,16.87524,19.77912,18.73668,13.45836,13.45836
Suffolk Coastal,E07000205,17.80848,14.91168,15.10704,8.01144,8.01144
Waveney,E07000206,16.29156,12.27732,11.01144,1.99344,1.99344
Elmbridge,E07000207,15.62736,21.82668,16.75824,11.13924,11.13924
Epsom and Ewell,E07000208,22.96812,11.3184,22.97232,24.6018,24.6018
Guildford,E07000209,14.9178,13.14516,12.59064,7.74492,7.74492
Mole Valley,E07000210,18.79284,12.82416,12.15252,4.7544,4.7544
Reigate and Banstead,E07000211,17.20656,9.7458,11.48916,11.87496,11.87496
Runnymede,E07000212,8.28564,6.3192,12.74124,20.41596,20.41596
Spelthorne,E07000213,7.8978,6.37248,7.5564,8.63724,8.63724
Surrey Heath,E07000214,28.79064,20.17416,7.4682,4.14048,4.14048
Tandridge,E07000215,9.37608,8.46,12.83592,7.6038,7.6038
Waverley,E07000216,14.9508,21.57,23.8974,12.85596,12.85596
Woking,E07000217,15.21804,11.66976,1.32624,3.06372,3.06372
North Warwickshire,E07000218,25.30128,11.83776,12.92892,-4.9146,-4.9146
Nuneaton and Bedworth,E07000219,4.53432,3.3822,5.46936,8.7378,8.7378
Rugby,E07000220,4.86516,12.41448,31.84884,14.44164,14.44164
Stratford-on-Avon,E07000221,9.21108,14.70288,12.13884,10.428,10.428
Warwick,E07000222,2.637,14.1534,14.57556,11.89896,11.89896
Adur,E07000223,12.08544,14.3274,11.0994,0.89028,0.89028
Arun,E07000224,4.64376,4.758,10.67472,7.22832,7.22832
Chichester,E07000225,14.66448,11.37744,2.99376,1.57716,1.57716
Crawley,E07000226,8.26896,1.91844,-1.15044,9.1398,9.1398
Horsham,E07000227,15.7428,8.6412,-1.59132,4.08408,4.08408
Mid Sussex,E07000228,24.63864,23.38788,18.99936,7.2078,7.2078
Worthing,E07000229,10.81944,19.20312,17.12604,7.37532,7.37532
Bromsgrove,E07000234,10.92852,17.5872,21.69372,9.97188,9.97188
Malvern Hills,E07000235,9.42792,10.38468,19.43928,6.849,6.849
Redditch,E07000236,-1.67568,2.92596,12.39024,13.94472,13.94472
Worcester,E07000237,17.32728,5.15484,-2.47512,-7.554,-7.554
Wychavon,E07000238,12.38664,2.05452,10.56732,16.6428,16.6428
Wyre Forest,E07000239,18.26244,17.89332,15.14088,4.1166,4.1166
St Albans,E07000240,9.34212,23.00568,20.47776,19.48572,19.48572
Welwyn Hatfield,E07000241,3.57288,11.007,9.61068,8.41668,8.41668
East Hertfordshire,E07000242,19.50516,13.89144,5.03928,0.87612,0.87612
Stevenage,E07000243,14.96592,9.85944,3.49008,-2.57736,-2.57736
Bolton,E08000001,11.16612,9.56856,10.87548,5.8866,5.8866
Bury,E08000002,5.76636,12.231,8.97804,13.41084,13.41084
Manchester,E08000003,12.55188,11.65572,13.08072,11.0058,11.0058
Oldham ,E08000004,10.49688,16.6416,12.60252,9.69636,9.69636
Rochdale,E08000005,12.60876,12.24204,13.84488,9.84792,9.84792
Salford,E08000006,10.7232,14.36148,8.84076,6.11772,6.11772
Stockport,E08000007,12.55548,10.68336,12.1926,10.95792,10.95792
Tameside,E08000008,15.96072,13.94208,12.84936,8.6634,8.6634
Trafford,E08000009,13.68456,6.2154,11.36136,10.7886,10.7886
Wigan,E08000010,11.71896,8.98752,6.89508,7.16592,7.16592
Knowsley ,E08000011,10.48344,13.43184,17.391,17.76432,17.76432
Liverpool,E08000012,15.05688,11.08608,13.31904,9.56124,9.56124
St. Helens,E08000013,12.4506,3.25572,5.64252,5.95704,5.95704
Sefton,E08000014,12.82812,11.44008,13.66224,12.25224,12.25224
Wirral,E08000015,6.86616,5.52576,6.93408,8.82948,8.82948
Barnsley,E08000016,9.62148,6.57792,12.81168,13.035,13.035
Doncaster,E08000017,8.93388,10.04388,8.50656,7.95804,7.95804
Rotherham ,E08000018,8.08128,14.38752,14.54304,9.56412,9.56412
Sheffield,E08000019,14.79732,12.27408,10.30692,7.95408,7.95408
Newcastle upon Tyne,E08000021,8.92584,14.07612,8.82984,11.36136,11.36136
North Tyneside,E08000022,10.9842,18.6564,10.31616,7.18176,7.18176
South Tyneside,E08000023,12.1074,9.35688,15.44772,13.5108,13.5108
Sunderland,E08000024,15.21156,11.2428,0.7038,3.46284,3.46284
Birmingham,E08000025,16.18236,14.68824,13.13676,14.13876,14.13876
Coventry,E08000026,0.6174,5.77128,11.55852,12.5904,12.5904
Dudley ,E08000027,11.1816,12.99048,12.38028,12.7608,12.7608
Sandwell ,E08000028,7.62708,2.11272,-0.26268,6.65892,6.65892
Solihull,E08000029,8.7912,2.05824,3.52836,18.60504,18.60504
Walsall,E08000030,4.04124,1.28784,1.7808,5.8572,5.8572
Wolverhampton,E08000031,11.62428,13.24416,8.0976,10.85052,10.85052
Bradford ,E08000032,10.84344,11.99352,7.57596,10.7412,10.7412
Calderdale,E08000033,7.16208,14.33664,13.4358,12.45684,12.45684
Kirklees ,E08000034,14.67324,13.77336,7.37184,6.93108,6.93108
Leeds ,E08000035,12.06204,10.65084,8.33388,8.63148,8.63148
Wakefield,E08000036,8.73084,9.36336,5.922,7.71888,7.71888
Gateshead,E08000037,14.4258,15.22236,14.60064,13.78164,13.78164
Barking and Dagenham,E09000002,14.54592,14.1534,10.04172,3.8952,3.8952
Barnet,E09000003,10.52028,12.74028,16.32828,13.11996,13.11996
Bexley,E09000004,16.06908,12.41148,8.87664,9.411,9.411
Brent ,E09000005,21.92424,19.47312,13.995,9.1776,9.1776
Bromley,E09000006,16.40376,14.6028,12.43104,7.74168,7.74168
Camden,E09000007,19.92048,17.11548,24.37356,22.75692,22.75692
Croydon,E09000008,7.44216,11.757,13.80696,17.6526,17.6526
Ealing,E09000009,17.90004,18.117,18.55392,12.85788,12.85788
Enfield,E09000010,12.71856,17.0832,17.9412,12.9276,12.9276
Greenwich,E09000011,12.10368,5.69832,9.98316,11.87448,11.87448
Hackney ,E09000012,5.88948,10.62648,6.46872,20.74944,20.74944
Hammersmith and Fulham ,E09000013,21.59724,15.4116,11.5932,-2.55828,-2.55828
Haringey,E09000014,17.17008,17.7972,14.34048,10.36224,10.36224
Harrow,E09000015,7.7622,14.86992,20.95788,25.65672,25.65672
Havering,E09000016,17.34804,13.64904,7.21632,5.90604,5.90604
Hillingdon,E09000017,10.42164,15.32376,9.91368,15.13368,15.13368
Hounslow,E09000018,17.19876,15.8226,14.92176,14.292,14.292
Islington,E09000019,18.45936,14.50428,7.25484,11.80368,11.80368
Kensington and Chelsea,E09000020,28.11156,22.45668,14.91144,1.01832,1.01832
Kingston upon Thames,E09000021,13.38204,10.68096,15.3168,17.64936,17.64936
Lambeth ,E09000022,18.62136,19.95252,10.00476,15.04116,15.04116
Lewisham ,E09000023,14.60124,11.26632,13.05156,8.38692,8.38692
Merton,E09000024,20.50188,21.24432,20.00736,13.4742,13.4742
Newham ,E09000025,12.53148,12.88392,10.37292,18.57288,18.57288
Redbridge,E09000026,10.12368,11.0646,15.58752,15.4056,15.4056
Richmond upon Thames,E09000027,13.24608,15.35448,12.03276,15.62592,15.62592
Southwark,E09000028,25.01436,20.1648,13.25112,7.21812,7.21812
Sutton,E09000029,14.92572,6.64188,10.4274,7.50264,7.50264
Tower Hamlets,E09000030,24.0432,14.2086,2.55636,7.3272,7.3272
Waltham Forest,E09000031,10.57284,14.406,15.678,25.70232,25.70232
Wandsworth,E09000032,13.23024,9.282,15.53088,13.779,13.779
Westminster,E09000033,24.22224,31.1478,35.59296,21.69444,21.69444
Clackmannanshire,S12000005,-4.13052,11.0742,15.30576,21.22056,21.22056
Dumfries and Galloway,S12000006,15.5604,8.95044,8.93136,8.39112,8.39112
East Ayrshire,S12000008,22.92648,5.85396,9.82416,1.6668,1.6668
East Lothian,S12000010,8.29632,6.85716,5.28504,5.0214,5.0214
East Renfrewshire,S12000011,16.60248,12.21216,7.1616,6.80484,6.80484
Na h-Eileanan Siar,S12000013,18.15924,9.50136,16.9146,7.0704,7.0704
Falkirk,S12000014,9.83412,11.85408,8.85468,17.03376,17.03376
Fife,S12000015,10.69692,13.04796,5.56584,7.59012,7.59012
Highland,S12000017,10.07244,16.33872,11.08056,13.347,13.347
Inverclyde,S12000018,24.33204,27.13116,22.22712,13.21644,13.21644
Midlothian,S12000019,4.96512,11.86128,14.03808,18.22884,18.22884
Moray,S12000020,19.68576,12.201,10.64268,11.91516,11.91516
North Ayrshire,S12000021,15.78,6.73344,1.49412,1.65372,1.65372
Orkney Islands,S12000023,5.82072,-14.69892,-18.95556,-4.50444,-4.50444
Perth and Kinross,S12000024,5.1648,6.38448,12.31692,19.18248,19.18248
Scottish Borders ,S12000026,13.42224,16.94388,16.12536,8.47356,8.47356
Shetland Islands,S12000027,32.6454,18.95688,-5.19,-3.17292,-3.17292
South Ayrshire,S12000028,20.60352,14.09232,5.24604,-0.34644,-0.34644
South Lanarkshire,S12000029,4.35696,5.3622,2.37528,5.64696,5.64696
Stirling,S12000030,13.55424,14.00304,8.43972,8.18184,8.18184
Aberdeen City,S12000033,8.54784,8.74056,4.74624,9.07812,9.07812
Aberdeenshire,S12000034,9.94776,14.5686,9.2388,11.58948,11.58948
Argyll and Bute,S12000035,9.63588,15.76728,13.17732,8.46276,8.46276
City of Edinburgh,S12000036,9.63528,8.20368,9.75048,10.82508,10.82508
Renfrewshire,S12000038,17.98476,22.14456,12.786,4.13988,4.13988
West Dunbartonshire,S12000039,11.92788,14.48028,13.54716,9.50664,9.50664
West Lothian,S12000040,19.41072,12.83052,19.2582,9.37884,9.37884
Angus,S12000041,11.148,3.28344,12.576,8.88864,8.88864
Dundee City,S12000042,18.17328,13.887,7.17432,0.59796,0.59796
North Lanarkshire,S12000044,13.22472,4.95108,5.40492,10.1826,10.1826
East Dunbartonshire,S12000045,8.91192,12.0102,4.54404,4.78452,4.78452
Glasgow City,S12000046,15.91356,17.32464,9.726,9.05388,9.05388
Isle of Anglesey / Ynys Mon,W06000001,10.08696,2.71164,-1.13664,-2.41632,-2.41632
Gwynedd / Gwynedd,W06000002,-0.81312,3.15552,5.34192,7.19496,7.19496
Conwy / Conwy,W06000003,10.69236,13.0194,9.10104,7.8636,7.8636
Denbighshire / Sir Ddinbych,W06000004,4.00764,7.40028,12.07656,11.83656,11.83656
Flintshire / Sir y Fflint,W06000005,3.30372,14.66916,15.02724,17.39484,17.39484
Wrexham / Wrecsam,W06000006,15.1356,15.6744,11.23344,5.77044,5.77044
Ceredigion / Ceredigion,W06000008,-3.6558,19.866,31.24884,17.49456,17.49456
Pembrokeshire / Sir Benfro,W06000009,16.5774,9.08568,15.4416,11.58468,11.58468
Carmarthenshire / Sir Gaerfyrddin,W06000010,10.90356,10.58772,11.38188,17.75148,17.75148
Swansea / Abertawe,W06000011,11.7522,7.59672,13.97124,4.6824,4.6824
Neath Port Talbot / Castell-nedd Port Talbot,W06000012,21.61884,21.77856,11.8398,1.63116,1.63116
Bridgend / Pen-y-bont ar Ogwr,W06000013,5.34756,4.27872,4.42032,4.5672,4.5672
Vale of Glamorgan / Bro Morgannwg,W06000014,20.4318,20.74128,8.89452,3.83376,3.83376
Cardiff / Caerdydd,W06000015,12.40668,7.36464,4.4466,5.14716,5.14716
Rhondda Cynon Taf / Rhondda Cynon Taf,W06000016,15.94572,0.76752,3.02928,-2.93136,-2.93136
Caerphilly / Caerffili,W06000018,12.37836,11.451,3.5286,6.6738,6.6738
Blaenau Gwent / Blaenau Gwent,W06000019,13.14576,15.7794,12.38928,10.0572,10.0572
Torfaen / Tor-faen,W06000020,21.60972,14.08836,7.11144,-8.4786,-8.4786
